class,tweet
1,"Finally running the game and everybody trippin now, but Ion give a fuck I got their bitches drippin now."
1,"she sucks bitch cant even pretend dance."
1,"Just might fuck yo main bitch. Dats just how I feel"
1,"hahaha good luck with that one bitch"
0,"Surprise, surprise! TSA trashes Brandon Darby's Border Patrol sources"
0,"Early bird gets the worm GoGetIt"
0,"Scores don't matter in Spring Training man!"
0,"so the ball did roll down the slope and found a natural spot defending brother and the scumbag"
0,"letz getup deep dish vocal mix Nagasaki Hiroshima yellow asian flu ^n emoto ill egg god?"
0,"H.G.Wells and Charlie Chaplin History Photography"
0,"Houston was top five in AHL attendance while Aeros were here. The transplanted snow bird would love a team."
0,"abouta get him some crayons and animal crackers after 830pm"
0,"Watching a bird poop on your car after you just got it washed"
1,"bitch"
1,"mmm where the fuck is that at honkey? U need to wake up and realize its 2013 and get off of the skin"
0,"ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth"
1,"dont show me no bitch unless she look like Dolly Parton!"
1,"Ol heads always think a young nicca gon runoff wit they sacc"
1,"Flaming faggots that publicly state how they want everything handed to them Like fuck you dude, get off your bottom ass and do something"
0,"Happy BLUBLOODS Friday! Off to to sit down with the gang on CBS This Morning!Join us in the 8 o'clock ho"
0,"So who wants to tell the Washington Post that Charlie Crist is a Democrat?"
0,"Except I used to be super tan and now I'm yellow/pale lol"
0,"At some point, we need to discuss how delicious the vegan brownie from on u St. tastes!"
1,"Tia chepa Uhh Noo bitch she is your Tia Irma aghh he's so annoying"
1,"and trying to maintain this color is gonna be a fuckin bitch like i washed my hair once and it already started going blonde again idk idk"
1,"BITCH FOR WHO, GAP? I'm a model Yall bitches can't tell me nothin"
1,"My bitches got pretty pussy"
1,"Mansion Elan tonight bitch! >>>>"
0,"6000 people/day now being deported from Warsaw ghetto, packed into cattle cars for rail trip to Treblinka death camp. htt"
0,"15 sad TV character deaths we're still bitter over stark was the man"
1,"Dat bitch wild as shit lls"
1,"Fuck is yaw sayin bitch my hood love me"
1,"That nigguh will never play football again"
0,"How bout them redskins?"
1,"Gabby why are you so ghetto?"
1,"I've been tryin to tell niggas Lesbian porn have the finest bitches"
0,"Also as part of my release day gift (yes, we get those!) this adorable bumblebee bear! Montlake"
0,"country boy, hick lyfe, white tee, rebel flag"
0,"Fitzpatrick is trash bruh"
0,"Giants- Pitiful Jets-Pitiful Mets- Pitiful Yankees-Pitiful Nets- Pitiful Knicks-Pitiful Ny sports- Pitiful"
0,"racist Texas trash GWBush came to WH numb remember he and Republicans stole the election"
1,"this niggah be lying"
1,"I hate a don't get shit done ass nigguh"
0,"That night cap nonsense is for the birds.!"
0,"Someone's mother called me a handsome, buff, yellow thang last night my ego was temporarily elevated and was dying lol"
0,"I can't wait to wear warm fuzzy sweaters"
0,"NEW Nashville Noise! loves burgers, honky tonks, and grabs a pizza."
1,"Awk U don't like your own nephew / cousins bc our race LMAO broke ugly bitches fuck them we don't need them"
0,"bowebergdahl There hasn't been a trade this lopsided since Babe Ruth was traded to the Yankees for No No Nanette cash."
0,"Charlie Crist says OCare has been great? ccot tcot teaparty PJNET Independents htt"
0,"Amen on this tweet. 105 mm rockets from Victor Charlie leave a lasting impression."
0,"A bird doesn't sing because it has an answer, it sings because it has a song.MAYA ANGELOUpoetry writing"
1,"Some women get in a relationship quick so they won't feel like a hoe for having sex."
0,"If the get Dempster, they just look like they're getting older. smh Bring some youth! mlb"
1,"Original bad bitch"
0,"steek d morele vinger maar in j neus, zelfde soort types bij NATO stenigt vrouwen by bosjes"
1,"I called people kikes and a lot of fucks"
1,"As long as you gon feed me pussy when I get the munchies"
1,"Y'all Mfs better believe in karma That bitch oh so real"
0,"Mila Kunis has heterochromia iridum which gives her two different colored eyes. One eye is green, the other is brown."
1,"Fuck around and waste my time and I'll fuck that bitch you hate and that one friend you love"
0,"There's coon classic (R. Kelly, Usher) and then there's classic (Stevie Wonder, Prince). Not that there's anything wrong with"
1,"My bitch Remy stuck in 06"
1,"U bitches still fuccin bush"
1,"Fat hoes get chose lol"
0,"The AFC was trash last season, especially the AFC South. Jags could make a playoff push if they have a great draft. Not jo"
0,"Oreo Donut"
0,"Hey Antony you speaks colored good"
1,"Just read this instagram profile luv my grls, princesses by birth, bitches by choice yeaaah youre cool tryhard loser"
1,"God damn birds"
1,"What a bitch pshh"
1,"she stole my shit, what a little niglet."
1,"I love bad bitches that's my fuckin problem."
0,"Or I'm vibing and they ask to see the aux cord knowing they bout to play some trash"
1,"Jet lag a bitch"
1,"im on that hoe now"
1,"some negro amigo pulled a gun on Nate and I a few weeks ago. I was STOKED!"
1,"Momma said no pussy cats inside of my dog house."
1,"Yall on my TL need to be sleep yall got school tomorrow bitch I got straight A's ion need to go"
1,"It's no wonder my titanium ankle is killing me. Woo retarded winter weather! texas weather"
1,"I'm a vet Ryan. TK rocks! You're just a useless geek. Oh, and you have a face like a bitch."
0,"On set of BlueBloods. Hoping there are no birds perched above me"
0,"Oh I forgot we lived in the ghetto hoodrats"
0,"How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their"
1,"This is Marco's lotion, and he got mad that I told him that he smells like a bitch"
0,"What I knowYou support killing babies, mock the handicapped, slept your way into Harvard then ditched your hubby and ki"
0,"Char-broiled cod, yellow rice, sauted spinach and artichoke hearts. Made with love for ."
0,"COLT MCCOY WINSHookEm he's still trash"
1,"Black bitches be like boy i told you not to get my hair wet"
1,"I feel like I should be sad and all that pussy shit but I am just so pissed right now idk what I'm feeling."
0,"sheryl crow being the bae"
1,"Why do the trashiest, really ghetto girls always get the most likes and comments on insta? Boys up and down their pictures a"
1,"Y'all can say Imma make it way farther than you.all you want but aye I'm gonna have fun bitch so SUCK A DIIICCCKKK!"
1,"I understand but stop venting on this bitch you give to much insight in to your life and these people don't deserve that"
0,"redskins gonna win and thats all im saying for the night"
0,"SpringTraining Daily takes a look at the Yankees outfield, perhaps the ALs deepest (via"
0,"lemme just throw a 302 in it, how's the tranny?"
1,"So I guess all girls are psycho bitches and dgaf these days Smh y'all are dumbDon't even know what psycho is. Tf outta here"
0,"you mean like the Yankees did this year when they prioritized a farewell tour over a playoff run?"
1,"This niggga said I be branding bitches"
1,"You a faggot if you bring a jacket to work and keep it at ya desk b/c the office is cold."
0,"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?"
0,"Mother of Manchester terror twins who went to Syria to become Jihadi brides snatched by ISIS v"
0,"you up, Charlie Brown?"
0,"yellow"
0,"Defiantly going to see that new planet of the apes tonight"
1,"Control yo hoes"
0,"this Charlie Z really does need mental help check this out"
1,"Ladies listen NO nigga wants to settle down at a young age. All you bitches crying about being single now will be wifed in 1"
0,"HappyColumbusDay ! If is wasn't for America KarlMarx would never have thought of sharing colonialism with injuns !"
0,"He promised to stand with the muzzies, so"
1,"I be damn if i go ova dea n get my ass blown up i kno wat it look like bitch i play Call Of Duty frequently"
0,"There's more than one way to skin a monkey --Barack Bushmeat Obama"
0,"Biden was a winner last night? Yea right like Charlie Sheen Really was a a winner too winning lol"
0,"Eagles 5hrs till the birds kick some assbleedgreen"
1,"Pappadeaux got the best chicken strips I swear I squeeze lemons over them hoes!"
0,"Kevin Hart make funny faces His curriculum kinda trash Curriculum?"
1,"making every bitch feel important"
0,"If you used the ObamaCare website you should definitely change your password hahahahahah that's sad boon"
0,"Full set (except the last song) from Southern Darkness Fest last month. Who's the ape on guitar?"
0,"How about a Charles in Charge movie with Shia LeBouf as Charlie and Ryan Gosling as Buddy. WhyNot."
0,"condom were invent for that sole purpose"
0,"teabagger math"
1,"If you was a hoe yesterday you'll be a hoe tomorrow"
0,"my fault it sound like it fucc nicca"
1,"cause all my life I was told and taught I am not shit by you wack fucking giant sacks of lying dog shit, now you shut up bitch."
0,"If those Captcha pictures get any more fuzzy I'm going to need a bot to decipher them"
0,"Hats on us not trash tho lol"
0,"I thought she was albino tho"
0,"I'm finally ready to mass market my skidmark-resistant tighty whities, but apparently Uncrustables is already taken. Fu"
0,"When someone is murdered, the police investigate the spouse first. And that tells you everything you need to know abo"
0,"Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 Yankees!"
1,"Run out with the baldhead bitch thing"
1,"You know all these bitches who posted pics for Zeeti are in the shower like Jim Carey in Ace Ventura after he found out Ei"
0,"Dani Alves uses his new gray hair to talk himself out of a yellow card, telling the referee, I am but a humble senior"
1,"I totally think the something when bitches come across mine saying we are similar. Uh no"
1,"That's my young ho I don't want nuthin old but her bank roll"
0,"Hit the clam chowder.Thanks for the wishes and the card"
1,"If a bitch don't like me, sumthin wrong wit da bitch"
1,"Bae gotta bitch whoops"
0,"Thank you, Captain. It'll never be the same. Jeter2"
1,"Dnt blame niggas when a female see ya hoe ass ways. Go listen to some JT Money fruitcake"
1,"Damn who knew this whole time that I was the angry negro dude?"
0,"lol then they have one more flavor I think it's yellow idk But yea there bomb."
1,"In the 2-6 bitch we prolly hit the same bitch, in the 2-6 bitch we gone bang the same shit, in the 2-6 bitch we prollu hit"
0,"Tiny Jihadi"
0,"You guys don't get evolution do you? You only share a common ancestor with apes."
0,"I wants to call bouts my vitaligro but I ain't sho if you a doctor fo da colored folk"
0,"redneck tow truck. johndeere 4455 america"
0,"just ate a wees brownie and is seeing random cats"
0,"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all."
1,"these hoes bout to prosper on cinegram LORDWILLIN"
0,"The early bird takes a nap before noon."
0,"I also had a dream that I went to the FOB show and FOB was rude to me and was getting badly hit on by some creep"
1,"wyd fag"
1,"She told me trust no bitches and watch yo homies"
1,"If you said more today on the internet about Duck Dynasty than about the NorthwestImperative, you're a useless whigger."
0,"Where do all the foreskins go when they circumcise a guy? the Foreskin Fairy takes them after you put them under your pillow"
0,"u still a mutt tho lol"
1,"Can we not use the word faggots?"
0,"Word to my bird!"
0,"Yep. *sobs*I got my hopes up when a couple of the national guys (including that Kiper/McShay mock) had him slipping."
0,"This whole week was trash"
0,"And the Yankees gave you a win. ) Happy Birthday!"
1,"Thursday We will see bitches dressed up like if the hallways were runways, clown make up on some girls,guys with pants belo"
0,"Can't find my BC powder I'll just chug this children's Advil"
0,"Truth about any distance for all you love birds out there!"
1,"Fuck all these dirty hoes these bitches basic"
0,"you gotta be like me n the twins, just chug it all before everyone"
0,"Cal has a day off and for giggles heads to Yankee stadium to hang with Derek Jeter. Yep coaching at UK is probably weari"
1,"U a faggot if u heat up leftover pizza"
1,"Its always the singles hoes who claim they aint talking or fucking nobody who mysteriously pop up pregnant"
0,"Cardinals score 1st. They lead 1-0 in the top 3rd with birds on base. NLCS SFvsSTL"
0,"Why McDonald's breakfast good but the lunch trash"
0,"Making up Drake disses>> cant wait to call it trash and tell everyone that B L U will forver be the goat out of LA"
0,"I really need to take my rose colored glasses off though. I gotta stop thinking everybody does shit with good intentions"
1,"oh I know dude. I just went OFF ON HIS ASS I'm done with that faggot"
1,"I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got and don't got"
1,"those random kids who sit at the plaza all day with their shitty cars faggots"
0,"Use to trap them birds now I'm fly like a birdddd"
1,"wrongfilmquotes everytime I come in the kitchen you in the kitchen, in the goddamn refrigerator. Eatin up all the pussy"
1,"About to be 23. Officially an old ass bitch"
1,"bitch we shot a music video"
0,"like their players really been talking trash about Bama."
0,"A shockingly true tale from the Oreo that almost got devoured."
0,"Mine plays DMX and kirk Franklin smh Well my neighbors are ghetto . They get up at like 5am and beat their kids."
1,"My twitter was hacked = I'm too pussy to admit that I said it and now I want to act like I never said it."
0,"Charlie Baltimore look good for 45"
0,"Get two birds stoned at one time."
1,"bruh why it look like a niggah dick slapped the baby"
1,"This bitch needs to turn off her shitty music"
1,"cause hes a faggot"
1,"Nobody want no pussy 25 other niggas done had before"
1,"You Disrespected My Hoeing Pimp Slaps Hoe In The Telly For Talking Back! - bitch"
0,"If u acted like a hoe after we broke up I'm not wrong for thinking u were a hoe all along"
0,"Green grass and tree trash."
0,"Sitting on the deck, enjoying a StoneIPA, watching/smelling the neighbors burn trash. Missouri"
1,"Yeen no real nicca if yeen got no porn sites n your internet history"
0,"Great lead battle and then Ricky hits Danica for a yellow. Oh boy. NASCAR"
1,"in other words you are accustomed to niggers so muchYour Almighty one can be next to u, but yo nigger"
1,"All these clocks and we still don't have time for these hoes"
1,"Some bitches are relentless. You can curve her a hundred times and she still wants the dick"
1,"you teabagger dunces want to eliminate education all together so you can groom more teabag voters. Lol.thedumbestteabagger"
0,"heres to all the kids who have never found their name on anything in a souvenir store thanks mom for the ghetto name."
1,"She said pop can u make it rain I said bitch I'm a water bearer I bring da flood I'll make you drown"
1,"or a celebrity. Poor bitches"
0,"Sweet! Just found that box of Twinkies I bought last year for $225.00! I bet its at least tripled by now! Such a no-brainer buy!"
0,"respect the birds. peace in pieces."
0,"This isn't ghetto it's smart I'm doing this idc"
1,"just like you you pulled all them track bitches"
0,"I need a heated bra because my nips hurt so bad!"
0,"Should've lost in Carolina, in Houston and tonight in St. Louis! LuckySeahawks are complete trash!"
0,"I am a celestial body hello"
1,"Them hoes come them hoes go it's a revolving cycle"
1,"Paula Patton pussy got a nigga on stage on his knees talmbout he gotta get her back tonight"
1,"Its so damn hot in this bitch"
1,"fuck them bitches I hope Navy beat em THIS week."
1,"I think IF i had hoes , i would tell them alll the same shit im too lazy to be tryna switch shit up ."
1,"im chill as fuck but ill still turn up on ur bitch ass"
0,"I said middle school days as in the ghetto way people and what I am nor here to impress you what are you go"
0,"Why do visiting teams WHINE about right field as if it is longer for their batters. Yankees YankeeStadium"
1,"Niccas catchin dem theft under $500 charges out here shit ugly I guess niccas Tryn get it fa da holidays"
0,"timbs straight trash though"
0,"I hope the trash I talk abt s poor product doesn't hurt my chances of getting hired as a legal correspondent. I was jk CNN."
0,"Jay; I think once someone has Alzheimer's, suffers from alcoholism and is mildly retarded, people shouldn't mak"
0,"So real it's unreal LOL Yankees WorldSeries 27andCounting MLB MLBtheShow12"
0,"Fine chicks lap dances always trash"
0,"When rednecks fool around with the aux cord"
0,"There's nothing hotter than a pale albino chick who can play guitar."
0,"Lmaoo we was sayin this same statement last year Boozer is trash bro I'm done!"
1,"My last bitch was 18 bitch came in da trap tryna Vine da Dope fuh likes her funeral was 3 days after dat"
1,"I'm obviously not talking about CoD because that game is for queers."
1,"woke up and bitches was not here lolI wasn't angry wit my hoes"
1,"Lol at the random fist fight aka pussy shove match at DnD tonight."
1,"Fuck what a bitch saying the hood love me"
0,"Designer belt with a trash fit is still trash"
0,"btw Jim crow laws were supported by democrats not republicans and MLK was a republican Fact"
0,"We now know more about Twinkies and how old the earth is than what happened in Benghazi."
1,"do you mean you were too distracted by being a bitch ? ))"
0,"Obama Says Hes Irritated But Does Not Feel Repudiated After Losing Senate (Video) Awwwww ho"
0,"I asked the name of the bird ancient Egyptians used as the sun of god Heru (Horus).The Pheonix (firebird)."
1,"u sent nudes when ina relationship or nah? Her pussy bleeding or nah? -_-"
1,"yep, them bitches are dumb af loyal but dumb lol"
1,"My brother doesn't know what American horror story is bitch you lame ass fuck"
0,"Can we revisit s idea of two teams of playing against each other? I would like to see a game every now and then."
1,"For every bad bitch there is a nigga tired of fucking her"
1,"Clan of retards"
1,"I hate this cookie built bitch"
0,"y'all got the Taxis right now? And can I get the Oreo 5's right now if possible?"
0,"And you know best about the bird moves !"
0,"There should be a side trip into DC to Charlie Palmers during CPAC"
0,"If Temple beats Rutgers today, I will be a happy clam."
1,"The only thing that cunt talked about was me crying about the traffic jam. Knows nothing abou"
1,"fuck your store bitch"
0,"Some Jihadi posted a bio of the ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift."
0,"Terrifying. leprechaun"
0,"well that's some cracker jack secret service work there. jfk anyone?"
1,"karma is a bitch"
0,"Jihadis keep on prattling about having shot down today what they think is an Apache helicopter. Maybe it was an Mi-35?"
1,"Assyria got hella hoes"
0,"iphone 6 is trash watch me glo up"
0,"My flow retarded"
1,"Fuck wrong w/ these bitches lately?"
1,"this bitch sounds like she's gettin raped by other.cats lmfaoo the.fuckkkk closing the window, whore cats"
1,"You can say I'm just a fool, that stands for nothing. Well, to that, I say you're a cunt"
0,"Her being albino isn't the problem. Its that gut, that hair, and that fish net she decided to wear. Sooo many things wrong w"
1,"Karahn jus called her future baby a lil shit bitch tell the world why don't you"
0,"I'm finally finished work. I'm going to have to chug this bottle of wine to catch up to you guys. Challenge accepted."
0,"Oregon State WR is a popular 49ers pick in recent mock drafts. DRAFT TRACKER"
1,"I know If I don't move out by next year my mom gonna bitch at me the whole time I live with her"
1,"Just saw someone riding a bike while wearing camo, the bitch is asking to get hit!"
1,"Im a boogie ass niggahs to these fast hoes"
1,"Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?"
1,"don't follow me and unfollow me, you are retarded"
1,"I love you and bitches love me."
1,"Niccas be gassing hoes they never gone pop Smh Prolly never gone meet her! WastedEnergy"
1,"Damn girl I'll be your porch monkey"
1,"Cumming in her pussy was love"
0,"IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! hoosiers"
0,"My head too big for snapbacks , I like beanies better anyway"
0,"EDM music is trash af and annoying"
1,"His jeans bluer denabitch. Dont let him lie to you. He's SICK how you know the pussy was't overrated ht"
0,"hick and raver is a venn diagram that has a very large intersection"
0,"Obama killed the Twinkie gonetofar"
0,"I literally just told to his face how trash he is at the shop in hooping"
0,"el negro?"
0,"This music is trash"
1,"So to the fat, toothless, sack chasing bitch that just yelled at me from her busted ass van window. Fuck off and get a real job"
1,"You're a bad bitch and I want you."
0,"and what we do with our foolish proud selves? Roll our eyes, pretend that we dont see, mock or laff at them, arrogant attitudes"
0,"Friends don't let friends become guidos. themoreyouknow"
0,"nudes are trash"
1,"no hoes."
1,"I don't even delete my typos, it is what it is bitch"
1,"If you would have followed George Washington in 1776, it means that you're white trash."
1,"Can't even tell a bitch hey without thinking you tryna get at them. Lmao. Y'all sumn else. Get real"
1,"Nigga you is a fool I feel like eatin nd beatin a pussy up"
1,"icanhashtaghoweveriwant bitch"
1,"hahah that niggah got hella checked ! Do your thang Uce. PowerCouple"
